1000 0.500000
0
1
0
Filter @ 0x10a8010
- filter -
size:  1000
error: 0.500000
- bloom -
bit_size:   1443
bit/entry:  1.443000
byte_size:  181
hash_num:   1
entries:    1
40010137 4992943 17
40010288 4942952 18
40010180 4918290 19
40010468 4844903 20
40010165 4792797 21
40010496 4781471 22
30030008 4775461 23
40010487 4723644 24
40010445 4713417 25
40010117 4683661 26
40010461 4628269 27
50000102 4469931 27
40010572 4450083 17
50000077 4440647 18
50000139 4405669 19
50000063 4404717 20
40010238 4338788 21
40010350 4270209 22
50000100 4265106 23
40010628 4186115 24
40010262 4169098 25
40010508 4162414 26
40010032 4144415 27
40010559 4101896 28
40010475 4070286 28
50000123 4051813 18
50000068 3974571 19
40010176 3915993 20
50000114 3912287 21
40010253 3895770 22
40010041 3887482 23
40010242 3804364 24
30030013 3758535 25
40010255 3739656 26
50000133 3697316 27
20010022 3689038 28
40010241 3683926 29
40010543 3665363 29
50000132 3639621 19
40010469 3609840 20
50000113 3585370 21
40010029 3531707 22
40010529 3513145 23
40010061 3494022 24
40010455 3484392 25
40010014 3456046 26
20010020 3443186 27
40010107 3383540 28
40010448 3353976 29
40010542 3310096 29
40010557 3294467 20
40010146 3283364 21
40010038 3230968 22
40010132 3185053 23
40010160 3182018 24
40010584 3163284 25
30040003 3133503 26
40010550 3112085 27
40010600 3094152 28
40010587 3057958 29
40010003 3002901 30
30030014 2954792 30
40010480 2951838 21
10070007 2949647 22
40010588 2940887 23
40010520 2919559 24
40010157 2908175 25
40010562 2881315 26
40010503 2880146 27
40010300 2863372 28
40010578 2839330 29
40010547 2832369 30
40010601 2829768 31
10020009 2816696 31
40010090 2812005 22
10070008 2776693 23
40010292 2736406 24
40010482 2733401 25
50000025 2719435 26
30030004 2719009 27
40010424 2715290 28
10020008 2680475 29
40010493 2678467 30
50000095 2572371 31
10020005 2543541 32
40010568 2526207 32
50000047 2514697 23
40010589 2485317 24
10020006 2478806 25
40010544 2470520 26
40010034 2459530 27
40010096 2446069 28
40010585 2430635 29
50000012 2425063 30
40010442 2420305 31
40010518 2400046 32
50000005 2379651 32
40010005 2370480 24
10060001 2344863 25
40010291 2337145 26
10020003 2256867 27
40010066 2228992 28
50000106 2223391 29
40010058 2105396 30
10030009 2099860 31
40010430 2093841 32
40010093 2083295 33
40010500 2063397 33
40010184 2036932 25
50000110 2006062 26
50000109 1976170 27
50000098 1961227 28
10030008 1959846 29
40010039 1958174 30
40010085 1947935 31
50000125 1933396 32
40010434 1928100 33
40010506 1923009 34
40010558 1920859 34
40010575 1919932 26
10070019 1911743 27
10020004 1910613 28
10020007 1879346 29
50000135 1853118 30
40010458 1829304 31
40010507 1827025 32
40010100 1808885 33
50000131 1756317 34
40010268 1741200 35
40010462 1732958 35
10030006 1726609 27
40010088 1711194 28
40010484 1710068 29
40010619 1676225 30
40010581 1670847 31
40040007 1646959 32
40010089 1637042 33
40010103 1620041 34
40010148 1613404 35
40010428 1579560 36
50000096 1573347 36
40010579 1520251 28
40010539 1508889 29
20010015 1492999 30
40010182 1484320 31
20010033 1469244 32
10030005 1451627 33
40010012 1450527 34
90000057 1424853 35
40010228 1403267 36
40010078 1388974 36
10030007 1380811 29
40010394 1375944 30
40010608 1373189 31
40010028 1361440 32
10030003 1345303 33
40010059 1344517 34
50000044 1343689 35
40010098 1332032 36
50000021 1299522 37
50000034 1260340 37
50000094 1250964 30
40010515 1244384 31
50000027 1230819 32
40010536 1200325 33
40010470 1199986 34
40010179 1177340 35
40010401 1176245 36
40010582 1170062 37
40010077 1166221 38
40010004 1145627 38
40010080 1138488 31
40010269 1132689 32
40010620 1128390 33
40010346 1124032 34
10070011 1106810 35
40010348 1097774 36
10030014 1091914 37
40010593 1081734 38
40010010 1073179 39
40010498 1072122 39
40010449 1054597 32
50000141 1052018 33
30040001 1045605 34
10050003 1040947 35
40010301 1034133 36
40010459 1033122 37
10070006 1025419 38
10070020 1016871 39
40010095 1013664 40
40010554 1012807 40
30030002 1007321 33
50000006 1006992 34
10030004 989588 35
40010115 972835 36
50000030 970828 37
10070018 965095 38
10040001 947355 39
90000006 936499 40
40010158 936410 40
40010551 929480 34
40010456 922996 35
10030013 921025 36
10030012 911562 37
40010273 909282 38
50000092 903872 39
50000033 898218 40
50000108 895583 41
10070009 892521 41
40010488 886752 35
40010563 884427 36
40010024 872522 37
40010476 870460 38
40010207 870150 39
40010429 861475 40
50000003 858136 41
40010638 858002 42
40010497 850438 42
40010020 849761 36
10070010 835695 37
50000020 831169 38
40010206 829440 39
40010351 807185 40
40010042 805138 41
50000008 795482 42
50000026 788355 43
40010134 788051 43
40010447 783994 37
40010045 782562 38
40010524 775488 39
40010452 772799 40
40010116 767416 41
50000053 753307 42
10030015 752197 43
40010094 746958 44
40010501 746075 44
40010208 737940 38
10030017 720629 39
40010091 720601 40
40010378 719091 41
40010056 718874 42
40010067 717866 43
40010485 717006 44
10030018 716836 44
10070004 713169 39
40010284 705858 40
40040006 705000 41
50000037 704506 42
40010087 702422 43
10040002 700028 44
50000017 697754 45
50000019 689735 45
40010609 688939 40
40010151 686321 41
40010290 675434 42
40010644 664297 43
40040008 662402 44
40010064 662255 45
40010443 655785 46
50000009 641751 46
40010017 640319 41
40040002 634344 42
50000002 633900 43
40010425 628343 44
10020002 627783 45
40010171 626975 46
40010509 625554 47
40010055 625552 47
40010302 611361 42
40010193 603730 43
10070005 599887 44
40010602 587297 45
40010257 584490 46
40010521 579463 47
40010548 578668 48
40010560 572538 48
40010576 570963 43
40010263 566444 44
40010135 558817 45
50000104 556977 46
40010037 553913 47
40010537 549317 48
40010621 544545 49
40010082 538270 49
40010054 538257 44
40010486 535650 45
50000128 535284 46
40010564 534578 47
40010267 532477 48
40040003 532361 49
40010106 522328 49
40010626 518967 45
50000107 518658 46
40010166 512597 47
10050002 503310 48
40010043 502633 49
10030016 498535 50
40010030 492720 50
